Annotator,S001FIN,S001FIC,S001FIF,S002MIN,S002MIC,S002MIF,S003FIN,S003FIC,S003FIF,S004MIN,S004MIC,S004MIF,S005FIN,S005FIC,S005FIF,S006MIN,S006MIC,S006MIF,S007FIN,S007FIC,S007FIF,S008MIN,S008MIC,S008MIF,S009FIN,S009FIC,S009FIF,S010MIN,S010MIC,S010MIF,S011FIN,S011FIC,S011FIF,S012MIN,S012MIC,S012MIF,S013FIN,S013FIC,S013FIF,S014MIN,S014MIC,S014MIF,S015FIN,S015FIC,S015FIF,S016MIN,S016MIC,S016MIF,S017FIN,S017FIC,S017FIF,S018MIN,S018MIC,S018MIF,S019FIN,S019FIC,S019FIF,S020MIN,S020MIC,S020MIF,S021FIN,S021FIC,S021FIF,S022MIN,S022MIC,S022MIF,S023FIN,S023FIC,S023FIF,S024MIN,S024MIC,S024MIF,S025FIN,S025FIC,S025FIF,S026MIN,S026MIC,S026MIF,S027FIN,S027FIC,S027FIF,S028MIN,S028MIC,S028MIF,S029FIN,S029FIC,S029FIF,S030MIN,S030MIC,S030MIF,S031FIN,S031FIC,S031FIF,S032MIN,S032MIC,S032MIF,S033FIN,S033FIC,S033FIF,S034MIN,S034MIC,S034MIF,S035FIN,S035FIC,S035FIF,S036MIN,S036MIC,S036MIF,S037FIN,S037FIC,S037FIF,S038MIN,S038MIC,S038MIF,S039FIN,S039FIC,S039FIF,S040MIN,S040MIC,S040MIF,S041FIN,S041FIC,S041FIF,S042MIN,S042MIC,S042MIF,S043FIN,S043FIC,S043FIF,S044MIN,S044MIC,S044MIF,S045FIN,S045FIC,S045FIF,S046MIN,S046MIC,S046MIF,S047FIN,S047FIC,S047FIF,S048MIN,S048MIC,S048MIF,S049FIN,S049FIC,S049FIF,S050MIN,S050MIC,S050MIF,S051FIN,S051FIC,S051FIF,S052MIN,S052MIC,S052MIF,S053FIN,S053FIC,S053FIF,S054MIN,S054MIC,S054MIF,S055FIN,S055FIC,S055FIF,S056MIN,S056MIC,S056MIF,S057FIN,S057FIC,S057FIF,S058MIN,S058MIC,S058MIF,S059FIN,S059FIC,S059FIF,S060MIN,S060MIC,S060MIF,S061FGN,S061FGC,S061FGF,S062MGN,S062MGC,S062MGF,S063FGN,S063FGC,S063FGF,S064MGN,S064MGC,S064MGF,S065FGN,S065FGC,S065FGF,S066MGN,S066MGC,S066MGF,S067FGN,S067FGC,S067FGF,S068MGN,S068MGC,S068MGF,S069FGN,S069FGC,S069FGF,S070MGN,S070MGC,S070MGF,S071FGN,S071FGC,S071FGF,S072MGN,S072MGC,S072MGF,S073FGN,S073FGC,S073FGF,S074MGN,S074MGC,S074MGF,S075FGN,S075FGC,S075FGF,S076MGN,S076MGC,S076MGF,S077FGN,S077FGC,S077FGF,S078MGN,S078MGC,S078MGF,S079FGN,S079FGC,S079FGF,S080MGN,S080MGC,S080MGF,S081FGN,S081FGC,S081FGF,S082MGN,S082MGC,S082MGF,S083FGN,S083FGC,S083FGF,S084MGN,S084MGC,S084MGF,S085FGN,S085FGC,S085FGF,S086MGN,S086MGC,S086MGF,S087FGN,S087FGC,S087FGF,S088MGN,S088MGC,S088MGF,S089FGN,S089FGC,S089FGF,S090MGN,S090MGC,S090MGF,S091FGN,S091FGC,S091FGF,S092MGN,S092MGC,S092MGF,S093FGN,S093FGC,S093FGF,S094MGN,S094MGC,S094MGF,S095FGN,S095FGC,S095FGF,S096MGN,S096MGC,S096MGF,S097FGN,S097FGC,S097FGF,S098MGN,S098MGC,S098MGF,S099FGN,S099FGC,S099FGF,S100MGN,S100MGC,S100MGF,S101FGN,S101FGC,S101FGF,S102MGN,S102MGC,S102MGF,S103FGN,S103FGC,S103FGF,S104MGN,S104MGC,S104MGF,S105FGN,S105FGC,S105FGF,S106MGN,S106MGC,S106MGF,S107FGN,S107FGC,S107FGF,S108MGN,S108MGC,S108MGF,S109FGN,S109FGC,S109FGF,S110MGN,S110MGC,S110MGF,S111FGN,S111FGC,S111FGF,S112MGN,S112MGC,S112MGF,S113FGN,S113FGC,S113FGF,S114MGN,S114MGC,S114MGF,S115FGN,S115FGC,S115FGF,S116MGN,S116MGC,S116MGF,S117FGN,S117FGC,S117FGF,S118MGN,S118MGC,S118MGF,S119FGN,S119FGC,S119FGF,S120MGN,S120MGC,S120MGF
ANO1,59.0,45.0,55.0,59.0,83.0,64.0,25.0,66.0,65.0,46.0,38.0,65.0,34.0,66.0,60.0,12.0,24.0,46.0,50.0,53.0,85.0,60.0,42.0,62.0,60.0,77.0,73.0,61.0,61.0,61.0,47.0,31.0,59.0,33.0,41.0,46.0,45.0,25.0,46.0,16.0,45.0,32.0,32.0,66.0,50.0,19.0,11.0,24.0,28.0,43.0,63.0,26.0,58.0,85.0,54.0,65.0,76.0,36.0,56.0,54.0,59.0,34.0,66.0,34.0,59.0,35.0,71.0,51.0,75.0,49.0,60.0,41.0,42.0,47.0,76.0,49.0,74.0,64.0,32.0,18.0,58.0,43.0,47.0,72.0,20.0,39.0,78.0,24.0,61.0,47.0,55.0,59.0,52.0,28.0,27.0,35.0,78.0,56.0,71.0,38.0,45.0,67.0,61.0,40.0,52.0,38.0,40.0,56.0,68.0,57.0,43.0,57.0,55.0,27.0,33.0,34.0,20.0,29.0,21.0,45.0,66.0,82.0,93.0,76.0,56.0,71.0,61.0,56.0,73.0,51.0,29.0,52.0,60.0,39.0,38.0,40.0,43.0,37.0,67.0,62.0,46.0,71.0,66.0,43.0,17.0,58.0,46.0,34.0,33.0,35.0,45.0,37.0,33.0,38.0,40.0,68.0,59.0,56.0,60.0,74.0,60.0,79.0,64.0,60.0,55.0,57.0,37.0,56.0,54.0,53.0,56.0,40.0,17.0,47.0,67.0,66.0,54.0,28.0,45.0,45.0,55.0,57.0,64.0,42.0,42.0,40.0,62.0,55.0,59.0,33.0,43.0,46.0,48.0,56.0,58.0,17.0,39.0,45.0,42.0,34.0,39.0,39.0,46.0,33.0,54.0,43.0,58.0,21.0,36.0,24.0,39.0,42.0,77.0,28.0,58.0,35.0,59.0,49.0,63.0,30.0,42.0,69.0,42.0,32.0,46.0,68.0,77.0,83.0,58.0,86.0,43.0,39.0,59.0,59.0,39.0,29.0,25.0,41.0,38.0,37.0,32.0,31.0,62.0,36.0,53.0,57.0,52.0,63.0,51.0,16.0,38.0,32.0,54.0,67.0,56.0,55.0,52.0,74.0,51.0,53.0,26.0,61.0,36.0,41.0,69.0,52.0,53.0,42.0,53.0,58.0,54.0,55.0,42.0,45.0,59.0,74.0,72.0,56.0,59.0,46.0,72.0,44.0,75.0,54.0,85.0,38.0,36.0,45.0,30.0,44.0,55.0,26.0,34.0,23.0,49.0,46.0,73.0,67.0,74.0,64.0,29.0,75.0,44.0,39.0,53.0,59.0,37.0,60.0,59.0,48.0,47.0,35.0,47.0,61.0,62.0,43.0,40.0,31.0,58.0,25.0,80.0,51.0,59.0,34.0,65.0,44.0,61.0,72.0,50.0,60.0,45.0,76.0,53.0,42.0,31.0,38.0,24.0,51.0,50.0,66.0,38.0,40.0,61.0,65.0,56.0,43.0,42.0,42.0,39.0,58.0,54.0,41.0,52.0,67.0,70.0,66.0,54.0,69.0,65.0,30.0
ANO2,80.0,70.0,69.0,17.0,31.0,37.0,86.0,62.0,58.0,23.0,28.0,19.0,96.0,51.0,53.0,57.0,58.0,24.0,60.0,40.0,11.0,62.0,25.0,21.0,87.0,32.0,86.0,22.0,37.0,12.0,58.0,66.0,51.0,16.0,21.0,17.0,28.0,51.0,17.0,18.0,64.0,8.0,56.0,61.0,32.0,74.0,52.0,25.0,42.0,76.0,37.0,36.0,23.0,9.0,15.0,67.0,13.0,60.0,14.0,59.0,59.0,12.0,88.0,27.0,14.0,15.0,50.0,30.0,65.0,61.0,45.0,29.0,31.0,61.0,26.0,18.0,23.0,4.0,80.0,92.0,80.0,47.0,31.0,34.0,79.0,72.0,54.0,64.0,56.0,33.0,36.0,63.0,20.0,87.0,83.0,41.0,49.0,15.0,100.0,10.0,58.0,21.0,82.0,66.0,11.0,19.0,65.0,64.0,77.0,56.0,12.0,23.0,22.0,6.0,90.0,24.0,23.0,49.0,13.0,16.0,92.0,13.0,26.0,21.0,72.0,37.0,33.0,33.0,74.0,85.0,34.0,26.0,89.0,72.0,61.0,28.0,10.0,22.0,70.0,20.0,56.0,24.0,29.0,39.0,49.0,57.0,9.0,72.0,25.0,6.0,90.0,70.0,92.0,53.0,11.0,39.0,20.0,95.0,32.0,92.0,19.0,20.0,89.0,63.0,64.0,61.0,26.0,8.0,63.0,43.0,77.0,7.0,24.0,24.0,85.0,15.0,36.0,11.0,14.0,7.0,60.0,79.0,75.0,38.0,24.0,24.0,68.0,78.0,86.0,17.0,17.0,52.0,74.0,71.0,52.0,58.0,10.0,15.0,19.0,60.0,21.0,61.0,70.0,53.0,64.0,9.0,44.0,26.0,32.0,16.0,79.0,72.0,71.0,8.0,65.0,21.0,22.0,26.0,17.0,29.0,17.0,57.0,62.0,75.0,60.0,28.0,30.0,64.0,47.0,67.0,70.0,32.0,38.0,6.0,33.0,65.0,25.0,29.0,36.0,58.0,64.0,73.0,80.0,36.0,72.0,34.0,84.0,50.0,58.0,19.0,26.0,25.0,80.0,72.0,85.0,77.0,24.0,54.0,24.0,66.0,74.0,22.0,71.0,11.0,72.0,49.0,36.0,27.0,22.0,27.0,68.0,77.0,69.0,71.0,59.0,63.0,71.0,74.0,46.0,71.0,82.0,25.0,39.0,56.0,57.0,18.0,9.0,11.0,76.0,81.0,77.0,16.0,48.0,65.0,79.0,67.0,84.0,51.0,50.0,11.0,66.0,41.0,68.0,12.0,8.0,13.0,74.0,28.0,65.0,11.0,10.0,20.0,30.0,71.0,52.0,10.0,67.0,30.0,40.0,59.0,24.0,73.0,58.0,29.0,26.0,45.0,45.0,64.0,80.0,30.0,1.0,12.0,21.0,14.0,31.0,63.0,39.0,75.0,78.0,61.0,76.0,33.0,72.0,55.0,62.0,58.0,65.0,28.0,63.0,71.0,58.0,60.0,34.0,21.0,35.0,50.0,13.0,21.0,28.0,71.0
ANO3,73.0,62.0,68.0,79.0,65.0,79.0,36.0,58.0,56.0,56.0,56.0,51.0,56.0,51.0,58.0,42.0,58.0,60.0,50.0,41.0,53.0,59.0,75.0,64.0,69.0,72.0,29.0,41.0,53.0,59.0,52.0,51.0,65.0,31.0,60.0,65.0,41.0,45.0,41.0,52.0,46.0,47.0,35.0,68.0,74.0,56.0,37.0,80.0,57.0,49.0,44.0,53.0,56.0,52.0,66.0,38.0,57.0,49.0,76.0,42.0,65.0,58.0,66.0,25.0,24.0,26.0,70.0,76.0,75.0,60.0,64.0,70.0,58.0,62.0,74.0,60.0,60.0,54.0,61.0,67.0,56.0,60.0,56.0,30.0,59.0,49.0,67.0,64.0,55.0,58.0,41.0,46.0,47.0,58.0,72.0,54.0,46.0,27.0,36.0,24.0,54.0,47.0,78.0,72.0,66.0,72.0,72.0,62.0,34.0,54.0,64.0,69.0,58.0,61.0,46.0,56.0,37.0,28.0,37.0,48.0,65.0,63.0,74.0,79.0,75.0,69.0,67.0,55.0,70.0,26.0,22.0,58.0,78.0,66.0,70.0,58.0,64.0,80.0,56.0,60.0,65.0,57.0,57.0,73.0,27.0,69.0,63.0,59.0,33.0,67.0,49.0,38.0,58.0,62.0,26.0,32.0,40.0,73.0,64.0,50.0,83.0,63.0,29.0,46.0,60.0,54.0,55.0,51.0,67.0,62.0,67.0,25.0,33.0,52.0,38.0,45.0,39.0,39.0,57.0,59.0,24.0,81.0,61.0,34.0,30.0,60.0,66.0,68.0,69.0,11.0,67.0,73.0,45.0,34.0,24.0,7.0,19.0,23.0,8.0,5.0,11.0,8.0,36.0,36.0,75.0,69.0,64.0,63.0,77.0,42.0,70.0,92.0,67.0,5.0,2.0,15.0,59.0,65.0,61.0,41.0,54.0,42.0,42.0,62.0,56.0,70.0,56.0,28.0,67.0,26.0,61.0,40.0,28.0,78.0,61.0,48.0,63.0,22.0,35.0,16.0,96.0,80.0,61.0,62.0,62.0,59.0,36.0,60.0,60.0,72.0,66.0,69.0,66.0,70.0,28.0,80.0,39.0,82.0,50.0,42.0,17.0,12.0,61.0,37.0,67.0,40.0,70.0,44.0,66.0,45.0,71.0,25.0,33.0,52.0,38.0,26.0,69.0,42.0,9.0,54.0,82.0,83.0,37.0,42.0,56.0,36.0,65.0,18.0,70.0,79.0,66.0,8.0,26.0,11.0,62.0,60.0,37.0,40.0,62.0,32.0,45.0,33.0,33.0,48.0,25.0,28.0,45.0,37.0,43.0,32.0,49.0,0.0,37.0,36.0,29.0,23.0,22.0,22.0,49.0,44.0,60.0,64.0,52.0,52.0,36.0,38.0,59.0,70.0,68.0,62.0,64.0,55.0,55.0,28.0,37.0,34.0,23.0,71.0,62.0,69.0,58.0,41.0,83.0,63.0,59.0,87.0,73.0,83.0,21.0,42.0,30.0,39.0,35.0,11.0,51.0,32.0,31.0,44.0,62.0,26.0
ANO4,75.0,47.0,56.0,20.0,38.0,66.0,35.0,40.0,11.0,73.0,40.0,83.0,81.0,63.0,52.0,41.0,29.0,39.0,71.0,36.0,24.0,70.0,49.0,57.0,30.0,69.0,80.0,54.0,25.0,34.0,48.0,61.0,51.0,13.0,63.0,33.0,18.0,9.0,49.0,51.0,67.0,61.0,65.0,50.0,58.0,49.0,7.0,53.0,54.0,53.0,42.0,68.0,52.0,66.0,77.0,51.0,73.0,66.0,55.0,73.0,48.0,55.0,46.0,65.0,67.0,25.0,50.0,58.0,73.0,60.0,61.0,54.0,57.0,65.0,29.0,67.0,15.0,7.0,15.0,65.0,51.0,43.0,35.0,85.0,69.0,70.0,70.0,58.0,55.0,58.0,63.0,76.0,61.0,68.0,61.0,55.0,59.0,41.0,73.0,55.0,27.0,42.0,75.0,36.0,53.0,45.0,43.0,42.0,41.0,45.0,35.0,73.0,77.0,74.0,43.0,44.0,21.0,64.0,35.0,44.0,37.0,73.0,54.0,63.0,67.0,41.0,59.0,39.0,50.0,68.0,70.0,69.0,74.0,43.0,44.0,54.0,65.0,65.0,65.0,59.0,58.0,61.0,41.0,41.0,69.0,60.0,45.0,40.0,58.0,64.0,51.0,51.0,54.0,78.0,41.0,41.0,56.0,60.0,67.0,72.0,67.0,41.0,62.0,65.0,56.0,51.0,33.0,34.0,71.0,57.0,73.0,46.0,34.0,58.0,71.0,47.0,39.0,57.0,52.0,52.0,58.0,59.0,68.0,35.0,38.0,34.0,55.0,42.0,40.0,57.0,59.0,61.0,56.0,59.0,57.0,31.0,49.0,41.0,29.0,36.0,35.0,64.0,34.0,37.0,60.0,37.0,37.0,36.0,45.0,35.0,37.0,28.0,38.0,36.0,34.0,43.0,31.0,55.0,42.0,61.0,60.0,61.0,61.0,57.0,40.0,59.0,37.0,37.0,42.0,42.0,43.0,58.0,59.0,63.0,39.0,55.0,42.0,37.0,42.0,31.0,60.0,56.0,57.0,59.0,61.0,65.0,40.0,41.0,40.0,35.0,33.0,35.0,61.0,50.0,60.0,59.0,57.0,57.0,44.0,41.0,39.0,50.0,31.0,35.0,40.0,42.0,38.0,50.0,56.0,55.0,57.0,56.0,64.0,64.0,60.0,54.0,71.0,62.0,60.0,51.0,55.0,55.0,35.0,37.0,36.0,34.0,41.0,37.0,61.0,65.0,68.0,41.0,40.0,32.0,57.0,65.0,56.0,55.0,59.0,43.0,50.0,64.0,36.0,54.0,50.0,62.0,51.0,52.0,49.0,29.0,33.0,25.0,49.0,58.0,53.0,40.0,40.0,32.0,62.0,63.0,55.0,56.0,36.0,38.0,65.0,68.0,59.0,46.0,32.0,41.0,58.0,63.0,61.0,38.0,36.0,37.0,34.0,32.0,31.0,63.0,65.0,69.0,58.0,58.0,63.0,53.0,39.0,55.0,56.0,49.0,49.0,56.0,50.0,58.0,41.0,41.0,50.0,43.0,56.0,40.0
ANO5,61.0,72.0,58.0,66.0,29.0,59.0,53.0,78.0,46.0,38.0,51.0,30.0,72.0,76.0,75.0,29.0,65.0,62.0,63.0,42.0,34.0,45.0,64.0,54.0,61.0,30.0,22.0,34.0,38.0,58.0,57.0,64.0,56.0,43.0,57.0,55.0,75.0,70.0,81.0,62.0,60.0,46.0,69.0,74.0,73.0,18.0,39.0,44.0,66.0,65.0,62.0,61.0,68.0,32.0,50.0,39.0,30.0,34.0,66.0,60.0,75.0,75.0,69.0,33.0,35.0,60.0,73.0,69.0,62.0,41.0,62.0,38.0,67.0,55.0,70.0,61.0,38.0,66.0,82.0,88.0,84.0,40.0,63.0,33.0,90.0,91.0,91.0,44.0,59.0,50.0,70.0,61.0,79.0,41.0,23.0,68.0,71.0,35.0,76.0,59.0,36.0,59.0,63.0,68.0,62.0,63.0,59.0,70.0,35.0,44.0,42.0,35.0,40.0,42.0,26.0,35.0,12.0,39.0,31.0,44.0,65.0,39.0,33.0,75.0,39.0,53.0,76.0,68.0,69.0,39.0,53.0,39.0,74.0,63.0,61.0,52.0,60.0,31.0,62.0,79.0,38.0,64.0,66.0,43.0,26.0,38.0,48.0,53.0,59.0,61.0,64.0,51.0,59.0,45.0,74.0,62.0,76.0,81.0,68.0,51.0,62.0,57.0,44.0,63.0,66.0,64.0,63.0,44.0,43.0,57.0,64.0,29.0,24.0,58.0,43.0,33.0,58.0,61.0,38.0,26.0,73.0,78.0,87.0,60.0,35.0,70.0,82.0,64.0,83.0,83.0,71.0,72.0,80.0,92.0,91.0,71.0,55.0,65.0,50.0,36.0,23.0,75.0,73.0,28.0,24.0,6.0,5.0,21.0,23.0,15.0,90.0,83.0,70.0,2.0,0.0,6.0,86.0,85.0,97.0,68.0,75.0,75.0,80.0,77.0,79.0,61.0,22.0,4.0,46.0,78.0,36.0,0.0,18.0,9.0,15.0,14.0,13.0,74.0,31.0,49.0,83.0,81.0,83.0,58.0,47.0,58.0,76.0,93.0,64.0,29.0,31.0,21.0,71.0,89.0,63.0,53.0,35.0,39.0,79.0,73.0,66.0,51.0,25.0,17.0,85.0,30.0,15.0,57.0,19.0,11.0,79.0,56.0,5.0,77.0,70.0,58.0,73.0,73.0,35.0,11.0,0.0,15.0,77.0,91.0,69.0,15.0,21.0,26.0,59.0,72.0,95.0,7.0,4.0,12.0,64.0,69.0,64.0,63.0,62.0,10.0,39.0,34.0,12.0,77.0,60.0,34.0,87.0,72.0,36.0,56.0,43.0,3.0,87.0,67.0,61.0,48.0,65.0,51.0,83.0,81.0,68.0,54.0,53.0,21.0,67.0,67.0,61.0,23.0,59.0,8.0,28.0,59.0,3.0,47.0,33.0,8.0,10.0,58.0,6.0,64.0,72.0,12.0,80.0,52.0,6.0,25.0,17.0,7.0,70.0,63.0,58.0,61.0,46.0,29.0,61.0,67.0,74.0,62.0,63.0,61.0
ANO6,57.0,41.0,45.0,37.0,60.0,64.0,65.0,63.0,65.0,23.0,27.0,23.0,61.0,66.0,41.0,25.0,32.0,30.0,50.0,68.0,69.0,56.0,65.0,56.0,64.0,50.0,50.0,34.0,23.0,39.0,72.0,62.0,58.0,24.0,27.0,25.0,62.0,67.0,57.0,38.0,28.0,58.0,43.0,55.0,54.0,50.0,58.0,43.0,34.0,55.0,67.0,31.0,47.0,24.0,33.0,36.0,32.0,35.0,44.0,42.0,40.0,60.0,33.0,43.0,60.0,66.0,59.0,54.0,53.0,19.0,42.0,43.0,58.0,63.0,58.0,35.0,50.0,59.0,51.0,44.0,57.0,29.0,35.0,26.0,62.0,57.0,71.0,25.0,30.0,30.0,72.0,41.0,64.0,47.0,60.0,55.0,75.0,63.0,78.0,51.0,50.0,52.0,83.0,77.0,75.0,77.0,80.0,79.0,39.0,56.0,39.0,66.0,34.0,16.0,58.0,66.0,73.0,53.0,43.0,35.0,56.0,72.0,62.0,62.0,63.0,73.0,56.0,58.0,81.0,50.0,47.0,66.0,76.0,70.0,58.0,57.0,74.0,82.0,64.0,51.0,62.0,69.0,68.0,70.0,30.0,58.0,34.0,41.0,50.0,50.0,64.0,70.0,56.0,29.0,18.0,17.0,79.0,71.0,77.0,18.0,63.0,36.0,56.0,19.0,51.0,24.0,21.0,20.0,55.0,54.0,62.0,38.0,21.0,31.0,36.0,23.0,23.0,57.0,21.0,11.0,72.0,63.0,72.0,26.0,53.0,33.0,54.0,41.0,38.0,70.0,54.0,63.0,41.0,52.0,48.0,43.0,36.0,42.0,18.0,36.0,30.0,34.0,36.0,35.0,36.0,33.0,32.0,39.0,42.0,60.0,47.0,58.0,56.0,2.0,51.0,37.0,61.0,51.0,50.0,69.0,61.0,54.0,47.0,34.0,33.0,74.0,56.0,30.0,37.0,70.0,59.0,40.0,46.0,64.0,48.0,39.0,49.0,28.0,29.0,59.0,70.0,74.0,67.0,41.0,38.0,39.0,46.0,58.0,52.0,27.0,40.0,46.0,44.0,56.0,45.0,52.0,40.0,42.0,43.0,67.0,59.0,17.0,39.0,59.0,56.0,59.0,68.0,42.0,42.0,50.0,72.0,57.0,28.0,24.0,43.0,43.0,68.0,67.0,15.0,74.0,35.0,60.0,37.0,23.0,27.0,40.0,33.0,62.0,38.0,39.0,64.0,48.0,56.0,23.0,40.0,39.0,57.0,27.0,38.0,35.0,38.0,22.0,34.0,64.0,63.0,39.0,34.0,47.0,54.0,40.0,15.0,22.0,33.0,33.0,37.0,57.0,27.0,27.0,55.0,62.0,59.0,56.0,54.0,45.0,45.0,74.0,65.0,63.0,72.0,75.0,29.0,33.0,36.0,56.0,42.0,14.0,39.0,36.0,36.0,68.0,71.0,46.0,68.0,40.0,65.0,54.0,64.0,72.0,56.0,58.0,60.0,41.0,38.0,43.0,58.0,44.0,59.0,53.0,54.0,30.0
ANO7,100.0,73.0,62.0,100.0,65.0,64.0,63.0,73.0,70.0,75.0,68.0,56.0,99.0,71.0,77.0,55.0,51.0,35.0,74.0,88.0,84.0,99.0,87.0,57.0,100.0,100.0,49.0,50.0,67.0,33.0,71.0,81.0,79.0,61.0,68.0,66.0,90.0,60.0,50.0,83.0,65.0,61.0,85.0,72.0,73.0,72.0,64.0,67.0,88.0,67.0,59.0,100.0,69.0,54.0,76.0,60.0,85.0,86.0,92.0,85.0,89.0,81.0,67.0,76.0,82.0,75.0,99.0,83.0,70.0,76.0,54.0,65.0,87.0,79.0,68.0,51.0,78.0,33.0,67.0,91.0,64.0,76.0,72.0,80.0,100.0,88.0,81.0,77.0,53.0,81.0,87.0,82.0,88.0,90.0,100.0,59.0,100.0,65.0,69.0,80.0,64.0,61.0,85.0,86.0,89.0,100.0,85.0,84.0,85.0,86.0,78.0,60.0,63.0,65.0,67.0,75.0,57.0,88.0,58.0,70.0,84.0,86.0,100.0,71.0,58.0,54.0,87.0,77.0,84.0,90.0,71.0,82.0,80.0,70.0,74.0,60.0,82.0,71.0,89.0,100.0,55.0,78.0,62.0,67.0,88.0,84.0,69.0,79.0,67.0,75.0,63.0,89.0,67.0,73.0,80.0,80.0,100.0,84.0,87.0,66.0,79.0,60.0,100.0,91.0,93.0,74.0,76.0,64.0,85.0,72.0,60.0,100.0,70.0,52.0,85.0,76.0,68.0,70.0,90.0,58.0,53.0,47.0,45.0,46.0,31.0,63.0,44.0,41.0,46.0,49.0,54.0,58.0,73.0,76.0,75.0,40.0,61.0,54.0,24.0,28.0,54.0,48.0,48.0,46.0,63.0,50.0,64.0,39.0,63.0,65.0,56.0,75.0,76.0,15.0,60.0,56.0,55.0,67.0,62.0,66.0,71.0,59.0,45.0,51.0,56.0,50.0,68.0,64.0,55.0,53.0,68.0,78.0,82.0,85.0,47.0,45.0,68.0,66.0,64.0,56.0,32.0,53.0,39.0,43.0,58.0,71.0,52.0,45.0,41.0,36.0,42.0,53.0,70.0,45.0,54.0,69.0,51.0,89.0,52.0,47.0,45.0,38.0,54.0,40.0,30.0,36.0,45.0,58.0,33.0,58.0,44.0,54.0,41.0,55.0,73.0,57.0,50.0,53.0,53.0,60.0,59.0,54.0,60.0,78.0,85.0,54.0,59.0,48.0,47.0,54.0,62.0,11.0,52.0,70.0,51.0,46.0,42.0,45.0,62.0,68.0,47.0,56.0,39.0,34.0,58.0,38.0,48.0,46.0,44.0,54.0,53.0,7.0,44.0,43.0,47.0,36.0,58.0,40.0,44.0,55.0,59.0,34.0,58.0,38.0,41.0,43.0,39.0,66.0,78.0,76.0,58.0,61.0,59.0,62.0,54.0,49.0,31.0,49.0,49.0,55.0,57.0,54.0,43.0,55.0,55.0,52.0,50.0,54.0,39.0,30.0,39.0,49.0,51.0,55.0,59.0,44.0,58.0,67.0,61.0,64.0
ANO8,61.0,61.0,61.0,83.0,88.0,73.0,91.0,79.0,84.0,16.0,15.0,8.0,74.0,58.0,78.0,14.0,22.0,15.0,80.0,72.0,86.0,64.0,61.0,63.0,94.0,92.0,80.0,12.0,18.0,36.0,84.0,58.0,77.0,21.0,26.0,27.0,56.0,66.0,73.0,18.0,32.0,54.0,79.0,71.0,75.0,25.0,31.0,31.0,77.0,79.0,71.0,79.0,76.0,58.0,90.0,80.0,70.0,56.0,56.0,57.0,80.0,84.0,85.0,71.0,67.0,66.0,80.0,78.0,78.0,16.0,59.0,9.0,91.0,83.0,59.0,67.0,13.0,14.0,26.0,76.0,21.0,29.0,71.0,18.0,83.0,85.0,72.0,62.0,33.0,17.0,57.0,71.0,76.0,53.0,22.0,66.0,84.0,88.0,75.0,73.0,26.0,17.0,86.0,83.0,92.0,74.0,76.0,78.0,77.0,72.0,52.0,68.0,80.0,50.0,64.0,37.0,50.0,29.0,30.0,12.0,90.0,78.0,85.0,94.0,63.0,55.0,82.0,94.0,87.0,53.0,52.0,23.0,78.0,64.0,85.0,68.0,63.0,21.0,84.0,82.0,76.0,72.0,27.0,74.0,18.0,70.0,44.0,84.0,36.0,42.0,43.0,69.0,31.0,59.0,27.0,16.0,84.0,89.0,88.0,77.0,67.0,24.0,73.0,30.0,77.0,35.0,50.0,70.0,86.0,79.0,92.0,25.0,33.0,18.0,72.0,71.0,53.0,27.0,17.0,18.0,74.0,78.0,82.0,44.0,49.0,69.0,57.0,51.0,37.0,69.0,66.0,53.0,84.0,76.0,79.0,39.0,12.0,26.0,6.0,13.0,7.0,15.0,28.0,15.0,58.0,72.0,45.0,54.0,75.0,46.0,64.0,76.0,91.0,8.0,41.0,49.0,37.0,70.0,58.0,72.0,74.0,58.0,55.0,47.0,43.0,79.0,70.0,71.0,48.0,57.0,54.0,70.0,88.0,78.0,44.0,60.0,48.0,19.0,40.0,29.0,61.0,73.0,64.0,73.0,81.0,56.0,60.0,53.0,53.0,52.0,33.0,42.0,43.0,76.0,47.0,72.0,76.0,79.0,58.0,67.0,53.0,37.0,51.0,55.0,39.0,45.0,35.0,69.0,40.0,55.0,80.0,53.0,66.0,58.0,59.0,57.0,71.0,68.0,60.0,57.0,53.0,57.0,70.0,71.0,73.0,48.0,62.0,39.0,33.0,52.0,34.0,26.0,79.0,29.0,29.0,53.0,66.0,33.0,89.0,63.0,74.0,44.0,25.0,20.0,57.0,62.0,56.0,42.0,60.0,26.0,22.0,25.0,46.0,43.0,52.0,22.0,21.0,20.0,61.0,60.0,69.0,59.0,72.0,80.0,57.0,38.0,71.0,87.0,77.0,75.0,80.0,80.0,68.0,72.0,71.0,50.0,17.0,36.0,24.0,82.0,69.0,58.0,52.0,51.0,47.0,64.0,37.0,48.0,35.0,35.0,48.0,55.0,62.0,52.0,71.0,80.0,70.0,55.0,76.0,40.0
