Unique_Speaker,Sex,Location,Distance,pcm_RMSenergy_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_zcr_sma,voiceProb_sma,F0_sma,pcm_RMSenergy_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_zcr_sma_de,voiceProb_sma_de,F0_sma_de
5,F,Imperial,50,0.001883811,-8.657215268,2.23451379,3.948689201,-1.446577464,-8.566904746,-10.5673878,-8.852792125,-0.190966443,-5.293419849,-2.851813211,-6.503973355,-1.742143975,0.106464592,0.374318283,162.5699597,-1.36e-13,2.05e-09,2.65e-09,-2.46e-09,7.48e-10,-5.77e-09,1.23e-08,-1.73e-09,-1.76e-09,3.48e-09,3.39e-09,-5.11e-09,6.76e-09,-7.68e-11,1.23e-11,-1.25e-07
5,F,Imperial,200,0.000877346,-9.90386728,-0.008976267,3.530135353,-2.492409979,-12.3465499,-11.21666623,-9.440685572,-1.546444018,-5.236137309,-1.719171019,-7.227078168,-2.550632953,0.121152565,0.388547589,187.5542279,1.48e-12,-5.62e-09,-5.95e-09,7e-10,-8.28e-10,-1.13e-09,-1.34e-08,-6.22e-09,-3.06e-09,-8.19e-09,-5.43e-09,-7.66e-09,7.92e-09,3.64e-12,-4e-11,-3.93e-07
5,F,Imperial,500,0.000517467,-10.26680953,-0.426762843,2.372399229,-2.334104795,-14.45540485,-10.11911874,-8.98639897,-0.658176434,-5.779561322,-2.518017281,-8.596767645,-3.488271119,0.124610254,0.373354196,202.7303508,1.18e-13,4.11e-09,4.96e-09,8.56e-09,4.7e-09,-3.67e-09,-2.9e-11,-1.02e-08,3.65e-09,-7.76e-09,-7.47e-09,-1.08e-09,-4.76e-09,9.31e-11,-1.94e-10,2.82e-07
6,M,Imperial,50,0.001422918,-6.654293144,3.420735501,9.896014731,-2.809374482,-4.748458121,-3.229238864,-7.785057227,-6.078806586,-1.946123419,1.807580178,4.439184565,-5.451627417,0.100983093,0.310125417,157.7210147,1.18e-12,1.43e-09,-5.6e-09,9.69e-10,6.62e-09,-1.81e-09,-3.51e-09,6.34e-10,-6.74e-10,6.98e-09,-2.92e-09,-1.64e-08,-3.06e-09,1.31e-10,-2.59e-11,-3.7e-07
6,M,Imperial,200,0.000706147,-7.013223711,-1.072962359,11.07200903,-3.503224481,-7.963301736,-3.798493532,-9.802054735,-3.061314443,-3.421086706,0.304530063,4.598409111,-8.14306921,0.114290266,0.318673444,189.1724853,-5.98e-13,-2.34e-09,-3.29e-09,-3.98e-09,9.34e-10,-6.7e-10,1.59e-09,-5.03e-09,1.04e-08,5.5e-10,-8.28e-09,-4.65e-09,-5.77e-09,-1.71e-11,1.26e-10,1.95e-06
6,M,Imperial,500,0.000403689,-6.826412282,-2.320047308,10.47564138,-4.582204356,-10.92918323,-3.407685931,-13.86536706,-2.535953532,-5.771002261,-1.11069899,2.864262402,-10.03211073,0.112231955,0.358129592,232.6118528,2.29e-13,8.74e-09,8.16e-09,4.49e-09,-1.05e-10,-2.33e-09,6.13e-10,-9.27e-09,7.42e-09,4.37e-09,-4.41e-10,7.5e-09,2.83e-09,3.95e-11,3.25e-11,-8.02e-07
7,F,Imperial,50,0.001640609,-9.832894521,4.950779793,4.652812417,-2.911079381,-6.563025348,-12.03500659,-9.744237892,-2.250667856,-9.18045525,-3.646649631,-5.759953388,-3.596454608,0.115194877,0.375964778,165.3070503,5.6e-13,3.91e-09,-2.2e-09,4.57e-10,2.82e-09,4.24e-09,-1.08e-08,2.4e-09,-2.04e-09,-5.81e-09,4.34e-09,8.25e-09,1.67e-09,-1.97e-12,-5.93e-11,-9.86e-08
7,F,Imperial,200,0.000764557,-10.76451556,2.239436339,3.711730661,-4.76385438,-10.50882074,-10.3668508,-13.8095217,-3.422019123,-11.71769012,-4.08451745,-5.619748477,-5.731620738,0.110765091,0.405768424,196.0342452,8.6e-13,2.28e-09,5.06e-09,3.62e-09,1.68e-09,-1e-09,3.35e-09,7.16e-09,1.03e-09,-2.19e-09,4.88e-09,-3.05e-09,-2.17e-09,4.03e-11,-6.49e-12,-2.04e-08
7,F,Imperial,500,0.00053972,-12.56532004,-2.791786592,1.275734894,-6.165831243,-11.35775761,-7.955283945,-13.19353693,-2.444750839,-12.62951936,-4.755385092,-6.918899431,-4.909351814,0.130333639,0.419116144,222.5991913,-2.37e-13,-2.5e-09,-1.23e-10,-3.23e-09,-5.08e-10,4.57e-09,-9.44e-10,6.52e-09,6.91e-09,-4.27e-09,-1.79e-09,5.67e-09,6.48e-09,2.39e-11,1.99e-10,-1.43e-07
8,M,Imperial,50,0.001962662,-10.88621855,5.395178416,6.671844984,2.233890127,-5.699796017,-11.97363917,-6.381327394,-8.12421871,-1.175730797,-2.088544045,-3.365040149,-8.563342018,0.10625986,0.33678018,193.3636207,-2.27e-12,-7.28e-09,-4.57e-09,-1.84e-09,-6.49e-09,-1.56e-09,9.57e-09,6.21e-09,-9.52e-09,3.75e-10,-9.44e-10,3.24e-09,-4.98e-09,-3.36e-11,-2.53e-10,1.1e-08
