Unique_Speaker,Sex,Location,Distance,Percieved_Distance,numerical_Percieved_Distance
54,M,Imperial,500,high,2.83
55,F,Imperial,50,low,1.1
55,F,Imperial,200,high,2.7138128619323374
55,F,Imperial,500,high,2.573422736970436
56,M,Imperial,50,low,1.279041450777202
56,M,Imperial,200,low,2.136747942700396
56,M,Imperial,500,high,3.4237488570557755
57,F,Imperial,50,low,1.700627857360561
57,F,Imperial,200,high,2.3944803413593423
57,F,Imperial,500,high,3.5226653459311184
58,M,Imperial,50,low,0.97
58,M,Imperial,200,high,2.359996952148736
58,M,Imperial,500,high,2.9768729046022555
59,F,Imperial,50,low,1.75558975921975
59,F,Imperial,200,high,2.865
59,F,Imperial,500,high,3.9415437366656505
60,M,Imperial,50,low,1.21
60,M,Imperial,200,low,2.128924108503505
60,M,Imperial,500,high,4.273823529411764
61,F,Glasgow,50,low,0.91
61,F,Glasgow,200,low,1.7210179823224625
61,F,Glasgow,500,low,2.14
62,M,Glasgow,50,low,1.135
62,M,Glasgow,200,low,1.725
62,M,Glasgow,500,high,2.183785431270953
63,F,Glasgow,50,low,1.0950000000000002
63,F,Glasgow,200,low,2.015
63,F,Glasgow,500,low,1.9094056690033523
64,M,Glasgow,50,low,0.915
64,M,Glasgow,200,low,1.805
64,M,Glasgow,500,high,2.269116123133191
65,F,Glasgow,50,low,1.08
65,F,Glasgow,200,low,1.490399268515696
65,F,Glasgow,500,high,2.412238646754038
66,M,Glasgow,50,low,0.995
66,M,Glasgow,200,low,1.729972569338616
66,M,Glasgow,500,low,1.7911185614142031
67,F,Glasgow,50,low,0.825
67,F,Glasgow,200,low,1.777730874733313
67,F,Glasgow,500,high,2.3300350502895464
68,M,Glasgow,50,low,0.87
68,M,Glasgow,200,low,1.739972569338616
68,M,Glasgow,500,high,2.1950000000000003
69,F,Glasgow,50,low,0.8202636391344102
69,F,Glasgow,200,low,2.065
69,F,Glasgow,500,high,2.822112160926548
70,M,Glasgow,50,low,0.8431225236208473
70,M,Glasgow,200,low,1.8004007924413286
70,M,Glasgow,500,high,2.49
71,F,Glasgow,50,low,1.1942426089606824
71,F,Glasgow,200,low,1.515
71,F,Glasgow,500,high,2.16
72,M,Glasgow,50,low,1.4018119475769582
72,M,Glasgow,200,low,1.755
72,M,Glasgow,500,low,2.047604388905821
73,F,Glasgow,50,low,1.3273392258457783
73,F,Glasgow,200,low,1.9278314538250532
73,F,Glasgow,500,low,2.091319719597684
74,M,Glasgow,50,low,1.0660819871990246
74,M,Glasgow,200,low,1.88
74,M,Glasgow,500,low,1.795
75,F,Glasgow,50,low,0.8700365742151783
75,F,Glasgow,200,low,2.0707909174032304
75,F,Glasgow,500,low,2.091319719597684
76,M,Glasgow,50,low,1.078852483998781
76,M,Glasgow,200,high,2.275525754343188
76,M,Glasgow,500,high,2.515
77,F,Glasgow,50,low,1.3650000000000002
77,F,Glasgow,200,high,2.5647698872295037
77,F,Glasgow,500,high,2.25
78,M,Glasgow,50,low,0.7003642182261505
78,M,Glasgow,200,low,1.925
78,M,Glasgow,500,high,2.3205638524839984
79,F,Glasgow,50,low,1.2735248399878083
79,F,Glasgow,200,low,1.7458290155440417
79,F,Glasgow,500,high,2.465
80,M,Glasgow,50,low,0.7269125266686985
80,M,Glasgow,200,low,1.65
80,M,Glasgow,500,low,1.995
81,F,Glasgow,50,low,1.4676302956415723
81,F,Glasgow,200,high,2.612439804937519
81,F,Glasgow,500,high,2.525
82,M,Glasgow,50,low,1.175
82,M,Glasgow,200,low,2.064116123133191
82,M,Glasgow,500,high,2.7443416641267904
83,F,Glasgow,50,low,1.245
83,F,Glasgow,200,low,1.78
83,F,Glasgow,500,high,2.1900000000000004
84,M,Glasgow,50,high,2.315
84,M,Glasgow,200,high,2.395
84,M,Glasgow,500,high,2.905
85,F,Glasgow,50,low,1.626345626333435
85,F,Glasgow,200,low,1.7911185614142031
85,F,Glasgow,500,high,2.218422736970436
86,M,Glasgow,50,low,1.5499999999999998
86,M,Glasgow,200,high,2.283460835111246
86,M,Glasgow,500,high,2.891583358732094
87,F,Glasgow,50,low,1.455
87,F,Glasgow,200,low,2.085
87,F,Glasgow,500,high,2.35
88,M,Glasgow,50,low,1.08
88,M,Glasgow,200,high,2.311420298689424
88,M,Glasgow,500,high,2.9723392258457797
89,F,Glasgow,50,low,1.3209174032307225
89,F,Glasgow,200,low,1.795
89,F,Glasgow,500,high,2.225
90,M,Glasgow,50,low,1.3841420298689426
90,M,Glasgow,200,low,1.945
90,M,Glasgow,500,high,2.185
91,F,Glasgow,50,low,1.47
91,F,Glasgow,200,low,2.07
91,F,Glasgow,500,high,2.565
92,M,Glasgow,50,low,1.115
92,M,Glasgow,200,high,2.345
92,M,Glasgow,500,high,2.245
93,F,Glasgow,50,low,0.8500000000000001
93,F,Glasgow,200,low,2.04
93,F,Glasgow,500,high,2.79
94,M,Glasgow,50,low,1.265
94,M,Glasgow,200,low,1.81
94,M,Glasgow,500,low,2.11
95,F,Glasgow,50,low,0.91
95,F,Glasgow,200,low,1.77
95,F,Glasgow,500,high,2.645
96,M,Glasgow,50,low,1.68
96,M,Glasgow,200,low,1.98
96,M,Glasgow,500,high,2.6950000000000003
97,F,Glasgow,50,low,1.34
97,F,Glasgow,200,high,2.25
97,F,Glasgow,500,high,2.345
98,M,Glasgow,50,low,1.375
98,M,Glasgow,200,high,2.24
98,M,Glasgow,500,high,2.75
99,F,Glasgow,50,low,1.3199999999999998
99,F,Glasgow,200,low,1.98
99,F,Glasgow,500,high,2.243523316062176
100,M,Glasgow,50,low,1.795
100,M,Glasgow,200,high,2.425
100,M,Glasgow,500,low,1.8382596769277664
101,F,Glasgow,50,low,0.865
101,F,Glasgow,200,high,2.225
101,F,Glasgow,500,high,2.93
102,M,Glasgow,50,low,1.47
102,M,Glasgow,200,low,1.915
102,M,Glasgow,500,high,2.6525662907650105
103,F,Glasgow,50,low,1.09
103,F,Glasgow,200,low,1.475
103,F,Glasgow,500,high,2.515
104,M,Glasgow,50,low,1.19
104,M,Glasgow,200,high,2.31
104,M,Glasgow,500,high,2.74
105,F,Glasgow,50,low,1.025
105,F,Glasgow,200,high,2.162037488570557
105,F,Glasgow,500,high,2.635
106,M,Glasgow,50,low,0.9646083511124656
106,M,Glasgow,200,low,2.015
106,M,Glasgow,500,high,3.255
107,F,Glasgow,50,low,2.005
107,F,Glasgow,200,low,1.9106903383114904
107,F,Glasgow,500,high,2.615
108,M,Glasgow,50,low,1.915
108,M,Glasgow,200,high,2.63
108,M,Glasgow,500,high,2.87
109,F,Glasgow,50,low,1.18
109,F,Glasgow,200,low,1.505
109,F,Glasgow,500,low,1.795
110,M,Glasgow,50,low,0.885
110,M,Glasgow,200,high,2.375
110,M,Glasgow,500,high,2.1500000000000004
111,F,Glasgow,50,low,1.48
111,F,Glasgow,200,high,2.69
111,F,Glasgow,500,high,3.37
112,M,Glasgow,50,low,1.585
112,M,Glasgow,200,high,2.2350000000000003
112,M,Glasgow,500,high,2.6100000000000003
113,F,Glasgow,50,low,1.035
113,F,Glasgow,200,low,1.786975007619628
113,F,Glasgow,500,high,2.6220115818348058
114,M,Glasgow,50,low,1.6578314538250534
114,M,Glasgow,200,high,2.229996952148736
114,M,Glasgow,500,high,3.37
115,F,Glasgow,50,low,1.1578954587016157
115,F,Glasgow,200,high,2.255
115,F,Glasgow,500,low,2.145
116,M,Glasgow,50,low,1.555
116,M,Glasgow,200,high,2.41
116,M,Glasgow,500,high,2.95
117,F,Glasgow,50,low,1.515
117,F,Glasgow,200,low,1.98
117,F,Glasgow,500,low,2.045
118,M,Glasgow,50,low,1.09
118,M,Glasgow,200,high,2.2486498018896675
118,M,Glasgow,500,high,2.77
119,F,Glasgow,50,low,1.71
119,F,Glasgow,200,high,2.5
119,F,Glasgow,500,low,1.86897744590064
120,M,Glasgow,50,low,1.34
120,M,Glasgow,200,high,2.18
120,M,Glasgow,500,high,2.855
