Speaker,Sex,Location,Distance,Percieved_Distance,numerical_Percieved_Distance
027,M,Imperial,500,high,2.83
028,F,Imperial,50,low,1.1
028,F,Imperial,200,high,2.7138128619323374
028,F,Imperial,500,high,2.573422736970436
028,M,Imperial,50,low,1.279041450777202
028,M,Imperial,200,low,2.136747942700396
028,M,Imperial,500,high,3.4237488570557755
029,F,Imperial,50,low,1.700627857360561
029,F,Imperial,200,high,2.3944803413593423
029,F,Imperial,500,high,3.5226653459311184
029,M,Imperial,50,low,0.97
029,M,Imperial,200,high,2.359996952148736
029,M,Imperial,500,high,2.9768729046022555
030,F,Imperial,50,low,1.75558975921975
030,F,Imperial,200,high,2.865
030,F,Imperial,500,high,3.9415437366656505
030,M,Imperial,50,low,1.21
030,M,Imperial,200,low,2.128924108503505
030,M,Imperial,500,high,4.273823529411764
031,F,Glasgow,50,low,0.91
031,F,Glasgow,200,low,1.7210179823224625
031,F,Glasgow,500,low,2.14
031,M,Glasgow,50,low,1.135
031,M,Glasgow,200,low,1.725
031,M,Glasgow,500,high,2.183785431270953
032,F,Glasgow,50,low,1.0950000000000002
032,F,Glasgow,200,low,2.015
032,F,Glasgow,500,low,1.9094056690033523
032,M,Glasgow,50,low,0.915
032,M,Glasgow,200,low,1.805
032,M,Glasgow,500,high,2.269116123133191
033,F,Glasgow,50,low,1.08
033,F,Glasgow,200,low,1.490399268515696
033,F,Glasgow,500,high,2.412238646754038
033,M,Glasgow,50,low,0.995
033,M,Glasgow,200,low,1.729972569338616
033,M,Glasgow,500,low,1.7911185614142031
034,F,Glasgow,50,low,0.825
034,F,Glasgow,200,low,1.777730874733313
034,F,Glasgow,500,high,2.3300350502895464
034,M,Glasgow,50,low,0.87
034,M,Glasgow,200,low,1.739972569338616
034,M,Glasgow,500,high,2.1950000000000003
035,F,Glasgow,50,low,0.8202636391344102
035,F,Glasgow,200,low,2.065
035,F,Glasgow,500,high,2.822112160926548
035,M,Glasgow,50,low,0.8431225236208473
