Unique_Speaker,Sex,Location,Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness,numerical_Agreeableness,numerical_Conscientiousness,numerical_Extraversion,numerical_Neuroticism,numerical_Openness
27,F,Imperial,high,low,low,high,high,61.0,33.5,25.0,64.0,66.0
27,F,Imperial,high,low,low,high,high,54.0,40.0,40.5,55.5,56.5
28,M,Imperial,high,high,low,high,low,54.0,57.5,38.5,49.5,43.0
28,M,Imperial,low,low,high,high,low,43.5,51.5,53.0,45.5,51.5
28,M,Imperial,low,low,low,high,low,37.5,46.0,46.5,63.5,33.5
29,F,Imperial,high,high,high,high,high,71.0,55.0,57.5,52.5,72.5
29,F,Imperial,high,high,high,low,high,73.5,59.5,58.5,31.5,71.0
29,F,Imperial,high,high,high,low,high,62.0,59.5,70.0,32.5,71.5
30,M,Imperial,low,low,low,low,high,44.5,46.5,47.5,25.5,60.0
30,M,Imperial,high,high,high,low,high,64.5,62.5,53.5,26.0,55.0
30,M,Imperial,low,high,high,low,low,45.5,58.0,54.0,35.5,48.5
31,F,Imperial,high,low,low,high,high,62.5,53.0,46.0,52.5,56.0
31,F,Imperial,high,high,high,low,high,59.5,58.5,53.0,39.0,60.0
31,F,Imperial,high,high,high,low,high,62.0,65.5,54.5,37.0,61.0
32,M,Imperial,high,low,low,high,low,57.0,37.5,26.5,41.0,50.0
32,M,Imperial,high,high,low,low,high,69.0,64.5,49.0,33.5,57.5
32,M,Imperial,high,high,low,high,high,58.5,62.5,45.5,44.0,55.0
33,F,Imperial,high,low,low,low,high,87.0,44.0,18.5,31.0,73.0
33,F,Imperial,high,low,low,low,low,64.5,42.0,38.5,35.5,49.5
33,F,Imperial,low,low,low,high,high,52.0,40.5,45.0,51.0,75.5
34,M,Imperial,low,high,high,high,low,48.5,68.0,63.0,50.5,49.5
34,M,Imperial,low,low,high,high,low,41.5,53.0,62.0,51.0,43.0
34,M,Imperial,low,low,high,high,low,42.0,29.5,54.5,58.0,44.5
35,F,Imperial,high,high,high,low,high,62.5,68.5,53.5,37.0,76.5
35,F,Imperial,high,low,low,high,high,57.5,43.0,47.5,41.5,67.0
35,F,Imperial,high,high,high,low,high,54.5,57.5,56.0,40.0,66.5
36,M,Imperial,high,low,high,low,high,68.5,47.0,62.5,38.0,68.5
36,M,Imperial,high,low,low,low,high,69.0,52.0,49.5,39.0,65.5
36,M,Imperial,high,high,high,high,high,63.5,56.5,63.0,44.0,65.5
37,F,Imperial,high,low,low,high,high,71.5,33.0,26.5,44.5,72.5
37,F,Imperial,high,high,low,high,high,68.5,55.0,38.0,49.5,56.0
37,F,Imperial,low,low,low,high,low,47.0,44.5,39.5,52.5,42.5
38,M,Imperial,low,high,high,low,high,42.5,76.5,58.0,20.5,63.0
38,M,Imperial,low,high,high,high,high,31.0,63.5,67.5,50.5,56.5
38,M,Imperial,low,high,high,high,low,28.5,60.5,66.5,54.5,46.0
39,F,Imperial,low,low,high,high,low,31.5,46.5,71.0,53.0,44.5
39,F,Imperial,low,low,high,high,low,30.0,41.5,69.0,63.0,36.0
39,F,Imperial,low,low,high,high,low,30.5,40.0,69.0,75.0,23.5
40,M,Imperial,low,low,low,high,low,42.5,41.0,26.5,53.5,44.0
40,M,Imperial,low,high,low,high,low,44.0,55.5,30.5,48.5,35.5
40,M,Imperial,low,low,low,high,low,34.0,43.5,33.0,52.0,41.5
41,F,Imperial,high,high,high,low,high,56.0,56.0,55.5,37.5,65.0
41,F,Imperial,low,high,high,low,high,45.0,69.0,63.0,33.0,75.5
41,F,Imperial,low,low,high,high,high,38.5,54.0,67.0,45.5,71.0
42,M,Imperial,high,high,high,low,high,62.5,58.5,57.0,30.5,75.5
42,M,Imperial,high,low,high,high,high,57.0,40.0,59.0,48.5,62.5
42,M,Imperial,low,low,low,high,high,52.0,38.0,48.5,52.0,54.5
43,F,Imperial,high,high,low,low,high,68.0,62.5,49.0,26.5,62.5
43,F,Imperial,low,high,high,low,high,43.5,57.5,65.5,26.5,56.5
43,F,Imperial,low,high,high,low,high,41.5,62.0,69.0,28.0,71.5
